P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,27961.000,21810.000,604.000,9761.212,1.000,362.000,4.000,80.000,106.680,11.000,4818.130,1728.800,9028.350,6.000,79437.000,3412.000
0.680,48616.000,37925.000,1223.000,9558.673,3.000,646.000,6.000,743.000,11.910,4.000,2811.170,5034.990,311.580,30.000,190597.000,584.000
0.623,21000.000,16378.000,838.000,5430.371,2.000,170.000,3.000,60.000,157.200,15.000,2008.190,2991.090,5072.070,5.000,29572.000,1428.000
0.786,18993.000,14814.000,918.000,8024.714,2.000,305.000,1.000,116.000,145.820,19.000,1789.130,6648.520,14644.180,3.000,49784.000,3350.000
0.659,37689.000,29348.000,1499.000,6959.421,1.000,373.000,10.000,1627.000,145.820,2.000,4850.386,2265.595,450.980,200.000,23867.000,454.000
0.621,28897.000,22540.000,1307.000,6438.362,1.000,373.000,1.000,126.000,77.360,9.000,3394.320,1416.440,7446.560,7.500,45654.000,2617.000
0.722,50531.000,39473.000,1839.000,11991.691,3.000,458.000,17.000,3831.000,137.000,1.000,4850.386,835.140,5613.302,167.000,154259.000,591.000
0.603,25629.000,20217.000,841.000,16379.693,2.000,258.000,22.000,2978.000,264.689,2.000,3562.150,556.970,5613.302,5.000,46580.000,364.000
0.588,13531.000,10554.000,1095.000,3639.037,1.000,200.000,1.000,21.000,119.000,10.000,8197.000,944.000,11263.000,23.000,11209.000,473.000
0.714,28598.000,22614.000,704.000,8311.910,3.000,328.000,9.000,1826.000,280.000,1.000,4850.386,2265.595,425.000,2.000,51766.000,76.000
0.818,24371.000,18851.000,555.000,9231.347,1.000,86.000,12.000,3662.000,25.000,1.000,4850.386,803.000,5613.302,3.000,9581.000,507.000
0.620,36927.000,28805.000,2081.000,6190.564,2.000,176.000,1.000,84.000,160.844,14.000,12223.000,1697.000,1878.000,10.000,13442.000,731.000
0.707,19666.000,15643.000,867.000,15406.794,2.000,424.000,12.000,1921.000,59.000,7.000,4850.386,2265.595,5613.302,38.458,40850.000,436.000
