Product Name,Diff,Sum of total order,Sum of gmv
" Love Beauty & Planet Hope and Repair,Coconut Oil & Ylang Ylang Conditoner 400ml",20,5,2158100
" Love Beauty & Planet Luscious Hydration, Coconut Water & Mimosa Flower Body Lotion 400ml",20,6,2486900
" Love Beauty & Planet Petal Soft, Coconut Water & Mimosa Flower Body Wash 400ml",33,7,1984500
" Love Beauty & Planet Pure and Positive, Tea Tree Oil & Vetiver Body Wash 400ml",49,6,1814600
" Love Beauty & Planet Radical Refresher, Tea Tree Oil & Vetiver Conditioner 400ml",26,5,1897600
" Love Beauty & Planet Smooth and Serene, Argan Oil & Lavender Conditoner 400ml",23,6,2260200
" Love Beauty & Planet Sooth and Serene, Argan Oil & Lavender Body Lotion 400ml",33,4,260800
" Love Beauty & Planet Tropical Fresh ,Coconut Oil & Ylang Ylang Body Wash 400ml",49,7,1577400
" Love Beauty & Planet Volume and Bounty, Coconut Water & Mimosa Flower Conditioner 400ml",20,3,1816200
3M Child Corner Guard Brown,3,1,334600
3M Nexcare Earloop Daily Kids Masker 3pcs,34,3,310000
3M Scotch Brite Pel Strip Kotak Refill,12,1,72321
3M Scotch Brite Pendorong Air Jendela,23,2,121500
4000Chuboos Vegetable Mold (Isi 6),4,1,99000
7 L My Stater Laptop Pink,9,1,375000
7L Electronic Book Ind-Eng Blue,9,1,195000
Absolute Feminine Hygiene 150ml - SP,6,1,30800
Aion Mama Pink,4,1,46800
Aion Plas Chamois Color Blue,4,1,46800
Aion Plas Chamois Color Red,4,1,46800
AmanBayiku Protected Handle Lock,8,1,23110
AmanBayiku Stove Knob Cover,6,1,21700
ANN&B Flamingo Blue L,13,1,203150
ANN&B Playing Yellow Jumper M,12,1,208250
ANN&B Tulis Hijau XS,10,1,191300
Aquadi Hand Sanitizer 100ml Pump,19,2,90000
Aquadi Hand Sanitizer 50ml Tub,1730,381,60000
ATONO2 Natural Bath Sponge Green,3,1,50000
Attipas Ballet Red M,6,1,261700
Attipas Chess Brown Size M,8,1,151875
Attipas Cutie White -X-L,6,1,254600
Attipas Giraffe Fuchsia XL,9,1,214900
Attipas Ice Cream Mustard  L,10,1,214900
Attipas Puzzle Gray M,5,1,175300
Attipas Ribbon Red -L,10,1,257700
Attipas Ribbon Red -X-L,13,2,418110
Attipas Twinkle Black M,4,1,254600
Babiesfirst Baby Bath Scoop Green,5,2,70400
Babiesfirst Baby Bath Scoop Pink,8,2,48000
Babiesfirst Baby Shampoo Cap Yellow,3,1,19800
Babiesfirst Bamboo Feeding Set Animal Owl,6,1,176000
Babiesfirst Bamboo Fiber Kids Feeding Set Animal 3D Owl,18,2,448000
Babiesfirst Bamboo Fiber Kids Feeding Set Animal 3D Whale,18,2,448000
BabiesFirst Bf701d BabiesFirst Kids Rubber Sock Shoes Motif Fox,13,1,104000
