P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,"27,961","21,810",604,9761.2121,1,362,4,80,106.68,11,"4,818.13","1,728.80","9,028.35",6,"79,437","3,412"
0.68,"48,616","37,925",1223,9558.672875,3,646,6,743,11.91,4,"2,811.17","5,034.99",311.58,30,"190,597",584
0.623,"21,000","16,378",838,5430.37082,2,170,3,60,157.2,15,"2,008.19","2,991.09","5,072.07",5,"29,572","1,428"
0.786,"18,993","14,814",918,8024.713799,2,305,1,116,145.82,19,"1,789.13","6,648.52","14,644.18",3,"49,784","3,350"
0.659,"37,689","29,348",1499,6959.421,1,373,10,1627,145.82,2,"4,850.39","2,265.60",450.98,200,"23,867",454
0.621,"28,897","22,540",1307,6438.361593,1,373,1,126,77.36,9,"3,394.32","1,416.44","7,446.56",7.499906,"45,654","2,617"
0.722,"50,531","39,473",1839,11991.6913,3,458,17,3831,137,1,"4,850.39",835.14,5613.302222,167,"154,259",591
0.603,"25,629","20,217",841,16379.693,2,258,22,2978,264.68892,2,"3,562.15",556.97,5613.302222,5,"46,580",364
0.588,"13,531","10,554",1095,3639.03747,1,200,1,21,119,10,8197,944,11263,23,"11,209",473
0.714,"28,598","22,614",704,8311.909739,3,328,9,1826,280,1,"4,850.39","2,265.60",425,2,"51,766",76
0.818,"24,371","18,851",555,9231.347388,1,86,12,3662,25,1,4850.38625,803,"5,613.30",3,"9,581",507
0.62,"36,927","28,805",2081,6190.56383,2,176,1,84,160.843704,14,12223,1697,1878,10,"13,442",731
0.707,"19,666","15,643",867,15406.7944,2,424,12,1921,59,7,4850.38625,"2,265.60","5,613.30",38.4583255,"40,850",436
