P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,27961,21810,604,14710.55556,2,362,4,80,106.68,11,3782.478959,1840.543559,9028.35,6,49437,54120
0.68,48616,37925,1223,35295.74074,7,646,6,743,11.91,4,13052.56312,6351.340283,311.58,30,170597,12584
0.623,21000,16378,838,5476.296296,1,170,3,60,157.2,15,2262.586075,1100.967982,5072.07,5,29572,31428
0.786,18993,14814,918,9219.259259,2,305,1,116,145.82,19,3502.983933,1704.54207,14644.18,3,45784,73350
0.659,37689,29348,1499,4419.814815,3,373,10,1627,145.82,2,4886.534047,2377.773641,450.98,200,63867,10454
0.621,28897,22540,1307,8454.444444,2,373,1,126,77.36,9,4258.148432,2072.002978,7446.56,7.499906,55654,32617
0.722,50531,39473,1839,28566.48148,6,458,17,3831,137,1,10272.30298,4998.473567,5613.302222,167,134259,66591
0.603,25629,20217,841,8625.925926,2,258,22,2978,264.68892,2,3563.886764,1734.177215,5613.302222,5,46580,59364
0.588,13531,10554,1095,2075.740741,1,200,1,21,119,10,857.6128539,417.3119881,11263,23,11209,21473
0.714,28598,22614,704,9586.296296,2,328,9,1826,280,1,3960.673298,1927.25242,425,2,51766,81176
0.818,24371,18851,555,1774.259259,1,86,12,3662,25,1,1039.097169,505.6217424,5613.3,3,13581,44507
0.62,36927,28805,2081,2489.259259,1,176,1,84,160.843704,14,1487.528692,723.8272524,1878,10,19442,1731
0.707,19666,15643,867,7564.814815,3,424,12,1921,59,7,4655.700077,2265.450484,5613.3,38.4583255,60850,62436
