P1;P2;P3;P4;P5;N1;N2;N3;N4;N5;PR1;PR2;PR3;PR4;PR5;y1;y2
0,561805556;27,961;21,81;604;97.612.121;1;362;4;80;106.68;11;4,818.13;1,728.80;9,028.35;6;49,437;54,12
0,047222222;48,616;37,925;1223;9.558.672.875;3;646;6;743;0,521527778;4;2,811.17;5,034.99;311.58.00;30;170,597;12584
0,432638889;21;16,378;838;543.037.082;2;170;3;60;157.02.00;15;2,008.19;2,991.09;5,072.07;5;29,572;31,428
0,545833333;18,993;14,814;918;8.024.713.799;2;305;1;116;145.82;19;1,789.13;6,648.52;14,644.18;3;45,784;73,35
0,457638889;37,689;29,348;1499;6.959.421;1;373;10;1627;145.82;2;4,850.39;2,265.60;450.98;200;63,867;10454
0,43125;28,897;22,54;1307;6.438.361.593;1;373;1;126;77.36.00;9;3,394.32;1,416.44;7,446.56;7.499.906;55,654;32,617
0,501388889;50,531;39,473;1839;119.916.913;3;458;17;3831;137;1;4,850.39;835.14.00;5.613.302.222;167;134,259;66591
0,41875;25,629;20,217;841;16.379.693;2;258;22;2978;26.468.892;2;3,562.15;556.97;5.613.302.222;5;46,58;59364
0,408333333;13,531;10,554;1095;363.903.747;1;200;1;21;119;10;8197;944;11263;23;11,209;21473
0,495833333;28,598;22,614;704;8.311.909.739;3;328;9;1826;280;1;4,850.39;2,265.60;425;2;51,766;81176
0,568055556;24,371;18,851;555;9.231.347.388;1;86;12;3662;25;1;485.038.625;803;5,613.30;3;13,581;44507
0,043055556;36,927;28,805;2081;619.056.383;2;176;1;84;160.843.704;14;12223;1697;1878;10;19,442;1731
0,490972222;19,666;15,643;867;154.067.944;2;424;12;1921;59;7;485.038.625;2,265.60;5,613.30;384.583.255;60,85;62436
